2024-03-19 15:17:23,281 - INFO - ur_api: Send data: movej([0, 0, 0, 0, 0, 0], a=0.5, v=0.5, t=0, r=0)
2024-06-13 16:20:35,695 - INFO - ur_api: Send data: movej([-0.2634489513889323, -1.7104628124002845, -1.9496348195325217, -1.0511866970949046, 1.6074974039767895, -2.3833485164190504], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:35,695 - INFO - ur_api: Send data: movej([-0.2634489513889323, -1.7104628124002845, -1.9496348195325217, -1.0511866970949046, 1.6074974039767895, -2.3833485164190504], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:37,030 - INFO - ur_api: Send data: movej([-0.2634489513889323, -1.7104628124002845, -1.9496348195325217, -1.0511866970949046, 1.6074974039767895, -2.3833485164190504], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:37,030 - INFO - ur_api: Send data: movej([-0.2634489513889323, -1.7104628124002845, -1.9496348195325217, -1.0511866970949046, 1.6074974039767895, -2.3833485164190504], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:37,030 - INFO - ur_api: Send data: movej([-0.2634489513889323, -1.7104628124002845, -1.9496348195325217, -1.0511866970949046, 1.6074974039767895, -2.3833485164190504], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:37,052 - INFO - ur_api: Send data: movej([-0.3151739861115558, -1.780601670512876, -1.8273371364426547, -1.1052453705449126, 1.607505409030924, -2.426381775224954], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:37,052 - INFO - ur_api: Send data: movej([-0.3151739861115558, -1.780601670512876, -1.8273371364426547, -1.1052453705449126, 1.607505409030924, -2.426381775224954], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:37,052 - INFO - ur_api: Send data: movej([-0.3151739861115558, -1.780601670512876, -1.8273371364426547, -1.1052453705449126, 1.607505409030924, -2.426381775224954], a=0.4, v=0.1, t=0, r=0)

2024-06-13 16:20:38,911 - INFO - ur_api: Send data: movej([-0.3151739861115558, -1.780601670512876, -1.8273371364426547, -1.1052453705449126, 1.607505409030924, -2.426381775224954], a=0.4, v=0.1, t=0, r=0)

